id,value-mode,value-type,value-computer,value-user,time
0,paint,2,100,-5:-5:-5,47.363
1,nib,2,30,105,6.166
2,nib,1,20,105,1.327
3,paint,2,100,-5:-6:-5,5.078
4,nib,1,70,106,2.969
5,nib,0,10,105,0.978
6,paint,3,100,-5:-6:-5,3.858
7,nib,1,45,106,3.042
8,nib,2,50,105,1.069
9,paint,2,100,-5:-6:-5,89.603
10,nib,2,30,105,2.778
11,nib,1,20,106,0.983
12,paint,2,100,-5:-6:-5,8.611
13,nib,1,70,106,2.868
14,nib,0,10,105,2.879
15,paint,3,100,-5:-6:-5,3.773
16,nib,1,45,106,2.293
17,nib,2,50,105,0.683
18,paint,2,100,-5:-6:-5,193.353
19,nib,2,30,8,14.699
20,nib,1,20,105,1.36
21,paint,2,100,1:1:-5,6.393
22,nib,1,70,105,2.691
23,nib,0,10,105,1.309
24,paint,3,100,1:1:-5,2.697
25,nib,1,45,105,2.224
26,nib,2,50,8,1.177
