id,value-mode,value-type,value-computer,value-user,time
0,nib,0,74,74,11.288
1,nib,1,58,100,0.971
2,paint,3,0:0:75,0:0:0,0.877
3,nib,2,91,100,0.915
4,paint,2,163:163:0,0:0:0,1.093
5,paint,1,95:0:0,66:0:0,1.34
6,nib,1,29,26,4.475
7,nib,2,20,100,1.161
8,nib,1,46,26,0.831
9,paint,1,206:0:0,0:0:0,0.802
10,paint,3,0:0:231,0:0:0,0.85
11,paint,2,166:166:0,190:190:0,0.925
12,nib,2,36,38,6.81
13,paint,1,123:0:0,0:0:0,0.673
14,nib,1,45,100,0.682
15,paint,2,210:210:0,0:0:0,0.673
16,nib,0,47,100,0.741
17,paint,3,0:0:218,0:0:159,1.005
18,paint,1,125:0:0,0:0:0,1.201
19,paint,2,155:155:0,0:0:0,0.753
20,nib,2,56,38,0.745
21,paint,3,0:0:182,0:0:159,0.76
22,nib,1,34,100,0.806
23,nib,0,88,100,1.013
24,paint,2,75:75:0,0:0:0,1.106
25,paint,3,0:0:84,0:0:159,0.8
26,paint,1,184:0:0,0:0:0,0.712
27,nib,0,21,100,0.707
28,nib,2,60,38,0.664
29,nib,1,19,100,0.704
