id,mode,value,value-mode
0,,0:0:0,paint
1,,0:0:0,paint
2,,0:0:0,paint
3,,0:0:0,paint
4,,0:0:0,paint
5,,0:0:0,paint
6,,0:0:0,paint
7,,0:0:0,paint
8,,0:0:0,paint
9,,0:0:0,paint
10,,0:0:0,paint
11,,0:0:0,paint
12,,0:0:0,paint
13,,0:0:0,paint
14,,0:0:0,paint
15,,0:0:0,paint
16,,0:0:0,paint
17,,0:0:0,paint
18,,0:0:0,paint
19,,0:0:0,paint
20,,0:0:0,paint
21,,0:0:0,paint
22,,0:0:0,paint
23,,0:0:0,paint
24,,0:0:0,paint
25,,0:0:0,paint
26,,0:0:0,paint
27,,0:0:0,paint
28,,0:0:0,paint
29,,0:0:0,paint
30,,0:0:0,paint
31,,0:0:0,paint
32,,0:0:0,paint
33,,0:0:0,paint
34,,0:0:0,paint
35,,0:0:0,paint
36,,0:0:0,paint
37,,0:0:0,paint
38,,0:0:0,paint
39,,0:0:0,paint
40,,0:0:0,paint
41,,0:0:0,paint
42,,0:0:0,paint
43,,0:0:0,paint
44,,0:0:0,paint
45,,0:0:0,paint
46,,0:0:0,paint
47,,0:0:0,paint
48,,0:0:0,paint
49,,0:0:0,paint
50,,0:0:0,paint
51,,0:0:0,paint
52,,0:0:0,paint
53,,0:0:0,paint
54,,0:0:0,paint
55,,0:0:0,paint
56,,0:0:0,paint
57,,0:0:0,paint
58,,0:0:0,paint
59,,0:0:0,paint
60,,0:0:0,paint
61,,0:0:0,paint
62,,0:0:0,paint
63,,0:0:0,paint
64,,0:0:0,paint
65,,0:0:0,paint
66,,0:0:0,paint
67,,0:0:0,paint
68,,0:0:0,paint
69,,0:0:0,paint
70,,0:0:0,paint
71,,0:0:0,paint
72,,0:0:0,paint
73,,0:0:0,paint
74,,0:0:0,paint
75,,0:0:0,paint
76,,0:0:0,paint
77,,0:0:0,paint
78,,0:0:0,paint
79,,0:0:0,paint
80,,0:0:0,paint
81,,0:0:0,paint
82,,0:0:0,paint
83,,0:0:0,paint
84,,0:0:0,paint
85,,0:0:0,paint
86,,0:0:0,paint
87,,0:0:0,paint
88,,0:0:0,paint
89,,0:0:0,paint
90,,0:0:0,paint
91,,0:0:0,paint
92,,0:0:0,paint
93,,0:0:0,paint
94,,0:0:0,paint
95,,0:0:0,paint
96,,0:0:0,paint
97,,0:0:0,paint
98,,0:0:0,paint
99,,0:0:0,paint
100,,0:0:0,paint
101,,0:0:0,paint
102,,0:0:0,paint
103,,0:0:0,paint
104,,0:0:0,paint
105,,0:0:0,paint
106,,0:0:0,paint
107,,0:0:0,paint
108,,0:0:0,paint
109,,0:0:0,paint
110,,0:0:0,paint
111,,0:0:0,paint
112,,0:0:0,paint
113,,0:0:0,paint
114,,0:0:0,paint
115,,0:0:0,paint
116,,0:0:0,paint
117,,0:0:0,paint
118,,0:0:0,paint
119,,0:0:0,paint
120,,0:0:0,paint
121,,0:0:0,paint
122,,0:0:0,paint
123,,0:0:0,paint
124,,0:0:0,paint
125,,0:0:0,paint
126,,0:0:0,paint
127,,0:0:0,paint
128,,0:0:0,paint
129,,0:0:0,paint
130,,0:0:0,paint
131,,0:0:0,paint
132,,0:0:0,paint
133,,0:0:0,paint
134,,0:0:0,paint
135,,0:0:0,paint
136,,0:0:0,paint
137,,0:0:0,paint
138,,0:0:0,paint
139,,0:0:0,paint
140,,0:0:0,paint
141,,0:0:0,paint
142,,0:0:0,paint
143,,0:0:0,paint
144,,0:0:0,paint
145,,0:0:0,paint
146,,0:0:0,paint
147,,0:0:0,paint
148,,0:0:0,paint
149,,0:0:0,paint
150,,0:0:0,paint
151,,0:0:0,paint
152,,0:0:0,paint
153,,0:0:0,paint
