id,value-mode,value-type,value-computer,value-user,time
0,nib,0,17,100,5.122
1,nib,1,43,100,0.697
2,paint,3,0:0:112,0:-2:-3,0.627
3,nib,2,57,100,0.775
4,paint,2,171:171:0,0:-3:0,0.557
5,paint,1,203:0:0,-3:0:-3,1.003
6,nib,1,62,100,12.694
7,nib,2,46,100,0.505
8,nib,1,20,100,0.444
9,paint,1,186:0:0,-3:0:-3,0.556
10,paint,3,0:0:111,0:-2:-3,0.46
11,paint,2,179:179:0,0:-3:0,0.441
12,nib,2,20,100,17.944
13,paint,1,55:0:0,-3:0:-3,0.614
14,nib,1,56,100,0.829
15,paint,2,169:169:0,0:-3:0,0.576
16,nib,0,66,100,0.84
17,paint,3,0:0:197,0:-2:-3,0.593
18,paint,1,70:0:0,-3:0:-3,24.038
19,paint,2,52:52:0,0:-3:0,0.616
20,nib,2,57,100,0.646
21,paint,3,0:0:114,0:-2:-3,0.455
22,nib,1,57,100,0.588
23,nib,0,37,100,0.693
