id,value,value-mode
0,2:46,nib
1,2:46,nib
2,2:46,nib
3,2:46,nib
4,2:46,nib
5,2:46,nib
6,2:46,nib
7,2:46,nib
8,2:46,nib
9,2:46,nib
10,2:46,nib
11,2:46,nib
12,2:46,nib
13,2:46,nib
14,2:46,nib
15,2:46,nib
16,2:46,nib
17,2:46,nib
18,2:46,nib
19,2:46,nib
20,2:46,nib
21,2:46,nib
22,2:46,nib
23,2:46,nib
24,2:46,nib
25,2:46,nib
26,2:46,nib
27,2:46,nib
28,2:46,nib
29,2:46,nib
30,2:46,nib
31,2:46,nib
32,2:46,nib
33,2:46,nib
34,2:46,nib
35,2:46,nib
36,2:46,nib
37,2:46,nib
38,2:46,nib
39,2:46,nib
40,2:46,nib
41,2:46,nib
42,2:46,nib
43,2:46,nib
44,2:46,nib
45,2:46,nib
46,2:46,nib
47,2:46,nib
48,2:66,nib
49,2:66,nib
50,2:66,nib
51,2:66,nib
52,2:66,nib
53,2:66,nib
54,2:66,nib
55,2:66,nib
56,2:62,nib
57,2:61,nib
58,2:61,nib
59,2:60,nib
60,2:59,nib
61,2:59,nib
62,2:59,nib
63,2:58,nib
64,2:58,nib
65,2:58,nib
66,2:57,nib
67,2:57,nib
68,2:57,nib
69,2:57,nib
70,2:57,nib
71,2:57,nib
72,2:56,nib
73,2:56,nib
74,2:56,nib
75,2:56,nib
76,2:56,nib
77,2:56,nib
78,2:56,nib
79,2:56,nib
80,2:56,nib
81,2:55,nib
82,2:55,nib
83,2:55,nib
84,2:55,nib
85,2:54,nib
86,2:54,nib
87,2:53,nib
88,2:52,nib
89,2:52,nib
90,2:50,nib
91,2:50,nib
92,2:49,nib
93,2:49,nib
94,2:48,nib
95,2:48,nib
96,2:47,nib
97,2:47,nib
98,2:47,nib
99,2:47,nib
100,2:47,nib
101,2:47,nib
102,2:47,nib
103,2:47,nib
104,2:46,nib
105,2:46,nib
106,2:46,nib
107,2:46,nib
108,2:46,nib
109,2:46,nib
110,2:46,nib
111,2:46,nib
112,2:46,nib
113,2:45,nib
114,2:45,nib
115,2:45,nib
116,2:45,nib
117,2:45,nib
118,2:45,nib
119,2:45,nib
120,2:45,nib
121,2:45,nib
122,2:45,nib
123,2:45,nib
124,2:45,nib
125,2:45,nib
126,2:45,nib
127,2:45,nib
128,2:45,nib
129,2:45,nib
130,2:45,nib
131,2:45,nib
132,2:45,nib
133,2:45,nib
134,2:45,nib
135,2:45,nib
136,2:45,nib
137,2:45,nib
138,2:45,nib
139,2:45,nib
140,2:45,nib
141,2:45,nib
142,2:45,nib
143,2:45,nib
144,2:45,nib
145,2:45,nib
146,2:45,nib
147,2:45,nib
148,2:45,nib
149,2:45,nib
150,2:45,nib
151,2:45,nib
152,2:45,nib
153,2:45,nib
154,2:45,nib
155,2:45,nib
156,2:45,nib
157,2:45,nib
158,2:45,nib
159,2:45,nib
160,2:45,nib
161,757:357,paitning
162,2:45,nib
163,757:357,paitning
164,2:45,nib
165,757:357,paitning
166,2:45,nib
167,757:357,paitning
168,2:45,nib
169,757:357,paitning
170,2:45,nib
171,757:357,paitning
172,2:45,nib
173,757:357,paitning
174,2:45,nib
175,757:357,paitning
176,2:45,nib
177,757:357,paitning
178,2:45,nib
179,757:357,paitning
180,2:45,nib
181,757:357,paitning
182,2:45,nib
183,753:357,paitning
184,2:45,nib
185,747:358,paitning
186,2:45,nib
187,745:359,paitning
188,2:45,nib
189,743:360,paitning
190,2:45,nib
191,741:361,paitning
192,2:45,nib
193,740:361,paitning
194,2:45,nib
195,739:361,paitning
196,2:45,nib
197,731:368,paitning
198,2:45,nib
199,724:373,paitning
200,2:45,nib
201,703:383,paitning
202,2:45,nib
203,694:385,paitning
204,2:45,nib
205,688:387,paitning
206,2:45,nib
207,685:388,paitning
208,2:45,nib
209,679:389,paitning
210,2:45,nib
211,677:389,paitning
212,2:45,nib
213,672:389,paitning
214,2:45,nib
215,669:390,paitning
216,2:45,nib
217,664:390,paitning
218,2:45,nib
